_id|_labels|CENTROID|CFS_AREA|DESCRIPTION|FULL_GEOID|INTPTLAT|INTPTLON|MA|NAME|STATE|STUSPS|_start|_end|_type
138|:MetroArea|{"crs":"wgs-84","latitude":35.84310742306507,"longitude":-86.34215110820995,"height":null}|47-00000|Origin metro area suppressed|E330000US4700000000|+35.8584600||00000|Tennessee|47|TN|||
139|:MetroArea|{"crs":"wgs-84","latitude":40.41547773596312,"longitude":-82.70937967451275,"height":null}|39-00000|Origin metro area suppressed|E330000US3900000000|+40.4149297||00000|Ohio|39|OH|||
140|:MetroArea|{"crs":"wgs-84","latitude":40.1242015067348,"longitude":-89.14863407336362,"height":null}|17-00000|Origin metro area suppressed|E330000US1700000000|+40.1028754||00000|Illinois|17|IL|||
141|:MetroArea|{"crs":"wgs-84","latitude":40.10999612085294,"longitude":-74.65594647677052,"height":null}|34-00000|Origin metro area suppressed|E330000US3400000000|+40.1072744||00000|New Jersey|34|NJ|||
142|:MetroArea|{"crs":"wgs-84","latitude":37.510871122692066,"longitude":-78.66635637618361,"height":null}|51-00000|Origin metro area suppressed|E330000US5100000000|+37.5222512||00000|Virginia|51|VA|||
143|:MetroArea|{"crs":"wgs-84","latitude":38.48472705254532,"longitude":-98.3801554490242,"height":null}|20-00000|Origin metro area suppressed|E330000US2000000000|+38.4985464||00000|Kansas|20|KS|||
144|:MetroArea|{"crs":"wgs-84","latitude":39.919810567543955,"longitude":-86.28184761535239,"height":null}|18-00000|Origin metro area suppressed|E330000US1800000000|+39.9013136||00000|Indiana|18|IN|||
145|:MetroArea|{"crs":"wgs-84","latitude":33.87774798518613,"longitude":-80.86458737797251,"height":null}|45-00000|Origin metro area suppressed|E330000US4500000000|+33.8741776||00000|South Carolina|45|SC|||
146|:MetroArea|{"crs":"wgs-84","latitude":47.411618689704646,"longitude":-120.59281847387317,"height":null}|53-00000|Origin metro area suppressed|E330000US5300000000|+47.4073238||00000|Washington|53|WA|||
147|:MetroArea|{"crs":"wgs-84","latitude":35.52603652926574,"longitude":-79.13088556586656,"height":null}|37-00000|Origin metro area suppressed|E330000US3700000000|+35.5397100||00000|North Carolina|37|NC|||
148|:MetroArea|{"crs":"wgs-84","latitude":38.99497483801806,"longitude":-75.4524925753767,"height":null}|10-00000|Origin metro area suppressed|E330000US1000000000|+38.9985661||00000|Delaware|10|DE|||
149|:MetroArea|{"crs":"wgs-84","latitude":46.34937232477811,"longitude":-94.19831451992727,"height":null}|27-00000|Origin metro area suppressed|E330000US2700000000|+46.3159573||00000|Minnesota|27|MN|||
150|:MetroArea|{"crs":"wgs-84","latitude":38.367638951021036,"longitude":-92.47741248653432,"height":null}|29-00000|Origin metro area suppressed|E330000US2900000000|+38.3507500||00000|Missouri|29|MO|||
151|:MetroArea|{"crs":"wgs-84","latitude":34.29314360596411,"longitude":-111.66444631623196,"height":null}|04-00000|Origin metro area suppressed|E330000US0400000000|+34.2039362||00000|Arizona|04|AZ|||
152|:MetroArea|{"crs":"wgs-84","latitude":32.756879931229705,"longitude":-86.84452098444565,"height":null}|01-00000|Origin metro area suppressed|E330000US0100000000|+32.7395785||00000|Alabama|01|AL|||
153|:MetroArea|{"crs":"wgs-84","latitude":42.92106221496553,"longitude":-75.59641833220189,"height":null}|36-00000|Origin metro area suppressed|E330000US3600000000|+42.9133974||00000|New York|36|NY|||
154|:MetroArea|{"crs":"wgs-84","latitude":32.63864183682659,"longitude":-83.42724626305049,"height":null}|13-00000|Origin metro area suppressed|E330000US1300000000|+32.6295789||00000|Georgia|13|GA|||
155|:MetroArea|{"crs":"wgs-84","latitude":44.87477488353861,"longitude":-85.73095556498173,"height":null}|26-00000|Origin metro area suppressed|E330000US2600000000|+44.8441768||00000|Michigan|26|MI|||
156|:MetroArea|{"crs":"wgs-84","latitude":38.94649395981202,"longitude":-76.68717733512871,"height":null}|24-00000|Origin metro area suppressed|E330000US2400000000|+38.9466584||00000|Maryland|24|MD|||
157|:MetroArea|{"crs":"wgs-84","latitude":44.639936103329994,"longitude":-89.7329466875379,"height":null}|55-00000|Origin metro area suppressed|E330000US5500000000|+44.6309071||00000|Wisconsin|55|WI|||
158|:MetroArea|{"crs":"wgs-84","latitude":41.5271511229566,"longitude":-99.81086332028686,"height":null}|31-00000|Origin metro area suppressed|E330000US3100000000|+41.5433053||00000|Nebraska|31|NE|||
159|:MetroArea|{"crs":"wgs-84","latitude":20.995107050022813,"longitude":-158.10997771524066,"height":null}|15-00000|Origin metro area suppressed|E330000US1500000000|+19.8281671||00000|Hawaii|15|HI|||
160|:MetroArea|{"crs":"wgs-84","latitude":28.42368639073475,"longitude":-82.54411004542992,"height":null}|12-00000|Origin metro area suppressed|E330000US1200000000|+28.3989775||00000|Florida|12|FL|||
161|:MetroArea|{"crs":"wgs-84","latitude":41.57516415037781,"longitude":-72.73825767197117,"height":null}|09-00000|Origin metro area suppressed|E330000US0900000000|+41.5798637||00000|Connecticut|09|CT|||
162|:MetroArea|{"crs":"wgs-84","latitude":39.35618474713665,"longitude":-116.65525035188143,"height":null}|32-00000|Origin metro area suppressed|E330000US3200000000|+39.3310928||00000|Nevada|32|NV|||
163|:MetroArea|{"crs":"wgs-84","latitude":30.909079786736342,"longitude":-91.81423619581811,"height":null}|22-00000|Origin metro area suppressed|E330000US2200000000|+30.8634368||00000|Louisiana|22|LA|||
164|:MetroArea|{"crs":"wgs-84","latitude":38.998532041891565,"longitude":-105.54782078656768,"height":null}|08-00000|Origin metro area suppressed|E330000US0800000000|+38.9937669||00000|Colorado|08|CO|||
165|:MetroArea|{"crs":"wgs-84","latitude":35.58346722525793,"longitude":-97.50823838005847,"height":null}|40-00000|Origin metro area suppressed|E330000US4000000000|+35.5900815||00000|Oklahoma|40|OK|||
166|:MetroArea|{"crs":"wgs-84","latitude":43.68023657220786,"longitude":-71.57124302589177,"height":null}|33-00000|Origin metro area suppressed|E330000US3300000000|+43.6726907||00000|New Hampshire|33|NH|||
167|:MetroArea|{"crs":"wgs-84","latitude":42.16009293868099,"longitude":-71.50397225652516,"height":null}|25-00000|Origin metro area suppressed|E330000US2500000000|+42.1565196||00000|Massachusetts|25|MA|||
168|:MetroArea||00-00000|Origin state and metro area suppressed|E330000US0000000000|||00000||00||||
